scaffold orf hmm.id
31 30 TIGR02350
1515 2 TIGR02350
86 69 TIGR02350
3 12 TIGR02350
429 3 TIGR02350
13 125 TIGR02350
18 54 TIGR02386
6 176 TIGR02386
42 36 TIGR02397
60 79 TIGR02397
165 16 TIGR02432
22 41 TIGR02432
64 36 TIGR02729
18 91 TIGR02729
109 14 TIGR03263
17 120 TIGR03263
165 12 TIGR03594
18 108 TIGR03594
#
#
# (May
# SEARCH
# /space/users/malber06/mmgenome/scripts/essential.hmm
# temp/assembly.orfs.faa
# hmmsearch
# /space/users/tym/Documents/DNAsense/CP352
# Jul
#
